match_id,date,round,referee,home_team,away_team,home_score,away_score,home_xg,away_xg,home_shots,away_shots,home_shots_on_target,away_shots_on_target,home_corners,away_corners,home_fouls,away_fouls,home_yellow,away_yellow,home_red,away_red,home_possession,away_possession,attendance
8148,01/11/2025 15:00,"14. kolo, Základní část | sobota 01/11/2025, 15:00 | Městský fotbalový stadion Miroslava Valenty |",S. Volek,1.FC Slovácko,FC Slovan Liberec,0,3,0.93,2.35,16,16,3,8,6,4,13,9,3,3,,,53,47,
8149,02/11/2025 15:30,"14. kolo, Základní část | neděle 02/11/2025, 15:30 | Městský stadion Karviná |",J. Wulkan,MFK Karviná,AC Sparta Praha,2,1,2.09,0.74,20,13,6,2,5,6,10,12,2,2,,,50,50,
8150,01/11/2025 15:00,"14. kolo, Základní část | sobota 01/11/2025, 15:00 | Stadion Střelnice |",P. Orel,FK Jablonec,FC Zlín,1,3,1.7,1.23,14,7,4,5,12,1,12,11,1,3,,,69,31,
8151,02/11/2025 18:30,"14. kolo, Základní část | neděle 02/11/2025, 18:30 | AGC Aréna Na Stínadlech |",D. Starý,FK Teplice,FC Viktoria Plzeň,1,2,0.66,1.35,8,8,4,4,1,5,13,17,0,4,,,32,68,
8152,02/11/2025 15:30,"14. kolo, Základní část | neděle 02/11/2025, 15:30 | Ďolíček |",O. Berka,Bohemians Praha 1905,FC Hradec Králové,1,2,3.26,0.63,19,10,6,5,5,1,13,10,0,1,,,57,43,
8153,01/11/2025 18:00,"14. kolo, Základní část | sobota 01/11/2025, 18:00 | Fortuna Arena |",M. Radina,SK Slavia Praha,FC Baník Ostrava,2,0,2.32,0.46,17,15,8,5,2,12,8,17,0,4,,,49,51,
8154,08/11/2025 18:00,"15. kolo, Základní část | sobota 08/11/2025, 18:00 | Městský stadion Ostrava |",K. Rouček,FC Baník Ostrava,FK Jablonec,0,1,2.25,0.39,23,7,7,2,9,2,8,16,1,2,,,66,34,
8155,09/11/2025 18:30,"15. kolo, Základní část | neděle 09/11/2025, 18:30 | Doosan Aréna |",J. Beneš,FC Viktoria Plzeň,SK Slavia Praha,3,5,0.94,1.85,16,11,6,8,9,1,14,24,6,6,,,55,45,
8156,08/11/2025 15:00,"15. kolo, Základní část | sobota 08/11/2025, 15:00 | Letná |",M. Radina,FC Zlín,Bohemians Praha 1905,0,1,1.86,1.84,15,18,6,6,4,11,6,12,0,2,,,54,47,
8157,09/11/2025 15:30,"15. kolo, Základní část | neděle 09/11/2025, 15:30 | epet ARENA |",S. Volek,AC Sparta Praha,FK Teplice,2,2,1.2,0.76,16,7,5,3,4,1,8,11,2,4,,,74,26,
8158,08/11/2025 15:00,"15. kolo, Základní část | sobota 08/11/2025, 15:00 | Malšovická aréna |",O. Pechanec,FC Hradec Králové,1.FC Slovácko,4,0,2.58,0.92,19,12,6,3,9,6,7,7,1,2,,,47,53,
8159,09/11/2025 13:00,"15. kolo, Základní část | neděle 09/11/2025, 13:00 | Stadión U Nisy |",J. Machálek,FC Slovan Liberec,MFK Karviná,6,0,2.56,1.22,18,14,10,5,7,4,19,15,2,0,0,1,54,46,
8160,09/11/2025 15:30,"15. kolo, Základní část | neděle 09/11/2025, 15:30 | Andrův stadión |",P. Orel,SK Sigma Olomouc,FK Pardubice,2,0,1.97,0.09,11,1,6,0,6,1,12,16,3,4,1,2,60,40,
8161,08/11/2025 15:00,"15. kolo, Základní část | sobota 08/11/2025, 15:00 | Na Julisce |",O. Berka,FK Dukla Praha,FK Mladá Boleslav,0,1,0.47,0.42,6,8,0,2,7,4,15,13,1,2,,,49,52,
8162,22/11/2025 15:00,"16. kolo, Základní část | sobota 22/11/2025, 15:00 | Na Julisce |",D. Starý,FK Dukla Praha,SK Sigma Olomouc,2,2,1.64,1.27,12,13,4,3,6,5,11,19,1,2,,,42,58,
8163,22/11/2025 15:00,"16. kolo, Základní část | sobota 22/11/2025, 15:00 | Stadion Arnošta Košťála |",S. Volek,FK Pardubice,FC Slovan Liberec,0,4,0.23,1.65,6,12,2,7,3,4,14,17,4,3,,,53,47,
8164,22/11/2025 15:00,"16. kolo, Základní část | sobota 22/11/2025, 15:00 | LOKOTRANS ARÉNA |",M. Radina,FK Mladá Boleslav,AC Sparta Praha,1,2,1.15,1.67,18,13,4,4,1,5,14,14,2,1,,,48,52,
8165,23/11/2025 18:30,"16. kolo, Základní část | neděle 23/11/2025, 18:30 | Městský fotbalový stadion Miroslava Valenty |",D. Černý,1.FC Slovácko,FC Zlín,2,0,0.77,1.18,9,15,4,2,5,3,15,15,1,1,,,57,43,
8166,23/11/2025 15:30,"16. kolo, Základní část | neděle 23/11/2025, 15:30 | Stadion Střelnice |",J. Všetečka,FK Jablonec,FC Viktoria Plzeň,3,3,0.66,1.89,10,26,5,7,1,6,14,11,3,1,,,39,61,
8167,23/11/2025 13:00,"16. kolo, Základní část | neděle 23/11/2025, 13:00 | Městský stadion Karviná |",K. Rouček,MFK Karviná,FC Hradec Králové,4,3,1.89,1.86,24,19,11,8,4,5,7,9,1,1,,,48,52,
8168,22/11/2025 15:00,"16. kolo, Základní část | sobota 22/11/2025, 15:00 | AGC Aréna Na Stínadlech |",J. Beneš,FK Teplice,FC Baník Ostrava,1,0,1.02,0.72,7,19,3,1,0,7,13,10,4,2,,,33,67,
8169,22/11/2025 18:00,"16. kolo, Základní část | sobota 22/11/2025, 18:00 | Fortuna Arena |",J. Wulkan,SK Slavia Praha,Bohemians Praha 1905,3,1,1.23,0.88,13,17,8,3,3,11,4,14,1,2,,,57,43,
8170,29/11/2025 15:00,"17. kolo, Základní část | sobota 29/11/2025, 15:00 | Městský stadion Ostrava |",O. Berka,FC Baník Ostrava,FK Dukla Praha,3,1,2.21,1.41,14,17,8,5,7,3,20,7,3,1,,,47,53,
8171,30/11/2025 15:30,"17. kolo, Základní část | neděle 30/11/2025, 15:30 | Stadión U Nisy |",J. Beneš,FC Slovan Liberec,SK Sigma Olomouc,1,0,1.57,1,24,12,9,4,6,4,16,9,1,4,,,53,47,
8172,30/11/2025 13:00,"17. kolo, Základní část | neděle 30/11/2025, 13:00 | Ďolíček |",D. Černý,Bohemians Praha 1905,FK Teplice,0,1,1.38,0.56,17,7,4,3,8,2,14,10,2,2,,,63,37,
8173,29/11/2025 15:00,"17. kolo, Základní část | sobota 29/11/2025, 15:00 | Malšovická aréna |",M. Radina,FC Hradec Králové,FK Jablonec,2,0,0.89,0.47,16,10,2,4,5,0,11,6,1,1,,,47,53,
8174,29/11/2025 18:00,"17. kolo, Základní část | sobota 29/11/2025, 18:00 | Fortuna Arena |",S. Volek,SK Slavia Praha,1.FC Slovácko,3,0,3.21,0.59,32,12,10,5,5,5,13,11,2,0,,,53,47,
8175,29/11/2025 15:00,"17. kolo, Základní část | sobota 29/11/2025, 15:00 | Letná |",D. Starý,FC Zlín,MFK Karviná,1,3,1.82,1.89,22,14,4,5,6,6,17,14,5,2,,,41,59,
